牛博 超话 6月27日 湖北 宜昌 暴雨 三峡 加大 泄洪 量 全市 水淹 被淹 居民 只能 高层 移。 洒水车 清洗 ######微博 	晚间 快乐 	希望 好心情 照常 营业 ，烦 心事 永久 打烊 ######rumor
周蓬安 收治 一例 重症 肺炎 病例 通报 深圳市蛇口人民医院 收治 一名 女性 患者 41岁 印度 籍 ，系 深圳 国际 学校 老师 患者 此前 咳嗽 周， 发热 2天 入院 呼吸衰竭。 患者 转入 ICU 救治 ……微评： 此前 武汉 香港 发生 不明 肺炎 病例 深圳 病例 原图 ######博主 好好 公告 帖子 恐慌 要命 公告 明明白白 冠状病毒 关系 	晚上 	问 ######nonrumor
乐活 武汉 新型 冠状病毒感染 肺炎 情况 通报  昨日 市 新增 肺炎 病例  治愈 出院 4例 24时 市 新增 新型 冠状病毒感染 肺炎 病例 治愈 出院 4例 新增 死亡 病例 报告 截止 市 累计 报告 新型 冠状病毒感染 肺炎 病例 41例 治愈 出院 6例 治 重症 7例 死亡 1例 患者 病情 稳定 患者 武汉市 定点 医疗 机构 接受 隔离 治疗 累计 追踪 解除 医学 观察 46 ，尚 接受 医学 观察 717 接触者 发现 相关 病例 原图 ######回复 陈骁 病例 41 出院 	所以说到底 治 	怕是 未知 病毒 ######nonrumor
柠檬 难过 元宝 感冒 发烧 今天五点 医院 检查 肺炎 连忙 送到 郑州医院 检查 住院 治疗 新生儿 陪护 家 宝儿 护士 抱 进 无菌 病房 时 眼泪 止不住 流。 走 拿着 包褥 衣服 回家 丢 想想 真 滋味 担心 吃 不好 睡不好 担心 哭 哄 担心 吃 太多 苦。 心情 超级 超级 差 宝宝 回来 充足 母乳 努力 说服 想开 宝儿 一定要 好好 ，妈妈 接 回来  原图 ######请问 肺炎 查 ，血项 感冒 发烧 	您好 请问 肺炎 肺炎 武汉 肺炎 	昨天 肺炎 肯定 拉 冻 ######nonrumor
西部网 外交部：# 中方 谴责 谭德塞 总干事 人身攻击# 种族主义言行】 9日 中国外交部 例行 记者会 记者 问 ，世卫组织 总干事 台湾 对其 种族主义攻击， 对此 予以 谴责 中方 赞同 总干事 说法 对此 外交部 发言人 赵立坚 中方 反对 疫情 搞 政治化 、污名化 谴责 谭德塞 总干事 人身攻击 种族主义言行。 赵立坚 指出 世界卫生组织 谭德塞 总干事 带领 履行 职责 秉持 客观 科学 公正 立场 协助 各国 应对 疫情 推动 国际 抗疫 合作 发挥 作用 国际社会 认可 高度 赞誉 中方 支持 世界卫生组织 全球 抗疫 合作 中 发挥 领导 作用 赵立坚 新 冠 肺炎 疫情 发生 台湾民进党 当局 窜下 跳 肆意 政治操 弄 持续 炒作 台 参加 世界卫生组织 世卫 大会 真实 目的 疫 谋独” 对此 坚决反对 图 谋绝不会 得逞 。@人民日报 原图 ######回复 迷迷 迷番茄 民主 洗脑 讨厌 中国 讨厌 中华民国， 想 干掉 国民党 干掉 民进党 听完 忍住 笑 	回复 迷迷 迷番茄 可悲 标榜 自欺欺人 虚伪 自由 	朋友 台媒 接受 信息 都是 污化 国家 新闻 都是 大陆 不好 ，像 蒙蔽 眼睛 大陆 了解到 情况 不一样 菜 政府 可怜 台湾 只能 台媒 了解到 社会 国际 情况 ######nonrumor
重庆江津法院 伊朗 误 饮 酒精 抗疫 600余 死亡 关注 新 冠 肺炎 疫情 伊朗卫生部 9日 最新 通报 过去24小时内 伊朗 新增 1634例 新 冠 肺炎 确诊 病例 累计 66220例 伊朗 民众 预防 新 冠 肺炎 误 饮 高 浓度 酒精 事件 发酵 ，据 伊朗 官方 媒体 塔斯尼姆通讯社 4月8日 援引 伊朗 司法 机构 发言人 古拉姆  侯赛 伊斯梅利 话 称 预防 新 冠肺炎， 饮用 高度 酒精 致死 人数 令人 安， 已有 600多 死亡 3000多 中毒 。”伊斯梅利 指出 伊朗 非法 生产 酒精 饮料 未 饮用 标准 造假者 被逮捕 ######		重庆江津法院 ######nonrumor
2020 chun 新 冠 肺炎 疫情 国确诊率，死亡率 信息 2038－4－ 9# 全球 疫情 欧洲 疫情  1…… 死亡 人口 超 100 国家 今日 新增 4个 共计 34个 。2…… 共有 12个 国家 确诊率 超过 湖北 。 济南 显示 地图  组图 3张  原图 ######回复 2020 chun 切断 传播 途径 	回复 风吹心不动W 死亡 人口 吓人 暂列 世界 	美国 死亡率 超 中国 继续努力 加油 ######nonrumor
老艾 观察 美国 纽约州州 长科 纽约州 昨日 新增 799例 新 冠 肺炎 死亡 病例 再创 单日 死亡 病例 新高 。 美帝 神药 莲花清瘟！ ######美国 药 神药 	艾哥， 忘 全球 人类 命运 共同体 	######nonrumor
时间 国际 视频 无人机 拍 纽约哈特岛 纽约 拟 公园 埋葬 新冠 死者 消息 人士 转移 哈特岛 1小时 埋 25具 尸体 4月6日 Fox News 援引 纽约市 议员 称 全市 新冠 肺炎 死亡 病例 激增 官员们 纽约 公园 里 临时 埋葬 死者 10个 棺材 一排 挖 壕沟 4月7日 纽约 市长 新闻 秘书 否认 消息 必要时 利用 纽约市 公共 墓地 哈特岛 临时 埋葬 上周 一段 无人机 拍摄 视频 显示 新 冠 肺炎 患者 埋葬 哈特岛 不到 一小时 埋葬 25具 尸体 快速 系统 ”哈特岛 在线 悼念 项目 创始人 ######方方， 素材 		######nonrumor
环球网 【 # 美国 连续 3周 超 1600 万人 请 失业金 美媒 10% 劳动力 没了 美国 消费者 新闻 商业 频道 （CNBC） 刚刚 消息 美国劳工部 当地时间 周四 9日 发布 数据 新 冠 肺炎 疫情 影响 美国 失业 人数 上周 660万 称 过去3周 美国 累计 请 失业金 人数 超过 1600万 数字 一份 月度 就业 报告 中 1.51亿 意味着 美国 3周 时间 丧失 10% 劳动力 美国 3周内 丧失 10% 劳动力  ######特朗普： 夸 	特朗普 假 新闻 一条 复工 	特朗普： 人生 ######nonrumor
豫章兄 联防 联控 江西 行动# 【 官方 通报 南昌 湾里区 3名 接触者 首次 核酸 检测 阴性 4月8日上午11时 深圳市疾控中心 协查 函 指出 居住 深圳市 占 （女 33岁 4月8日 确诊 症状 感染者 深圳市定点医院 治疗 患者 三名 接触 人员 张某 A（ 患者 丈夫 48岁 张某 B（ 患者 女儿 2岁 张某 C（ 患者 姑子 49岁 三人 占 接触 时间 超过14天 居住 南昌湾里 红湾社区 香逸熙园小区 ，湾里区疾控中心 采集 血清 样本 送 市疾控中心 检测 4月9日14时 ，市定点医院 公布 第一次 核酸 测试 均为 阴性 胸部 CT 影像 无异常。 豫章兄 科普 新 冠 肺炎 确诊 病例 症状 感染者 判定 核酸 检测 血清 抗体 检测 筛查 辅助 技术 单独 确诊 病例 症状 感染者 诊断 原图 ######互联网 环境 发现 敏感 情况 官方 通报 为准 社会 负面 影响 吃亏 	情况 还会 核酸 检测 依然 阴性 排除 通报 真实 潇潇 2013  上班 复学， 提高 警惕 戴口罩 ，不聚集 ，多通风，勤洗手！ 	信 谣， 传谣 恐慌 做好 防护 放松 ######nonrumor
环球时报 援 鄂 护士 回家 女儿 生日  队友 祝福 视频 落泪 4月14日 北京援鄂医疗队 结束 隔离 回家 这天 正好 朝阳医院 护士 秦立宁 女儿 15周岁 生日 秦立宁 同事 还给 女儿 录制 歌曲 祝福 视频 一遍 视频 都会 落泪 变得 特别 脆弱 泪点 太 低 聚焦 新冠 肺炎 疫情 视频 暖心 闻  cn/A6wIVC 1g ######代表 武汉 宝宝 一声 生日快乐 	美丽 巧妙 	想 写 一本日记， 正正日记， 写 都是 正大光明 人性 光辉 ######nonrumor
江苏 新闻 两 部门 学生 疫情 防控 期间 出校 日前 国家卫健委 教育部 联合 印发 大专院校 新 冠 肺炎 疫情 防控 技术 方案 提出 学生 疫情 防控 期间 校， 出校 ，须 履行 请假 程序 学校食堂 错峰 餐； 高校 学生 宿舍 床位 分配 减少 人员 拉开 距离 投票 分配 宿舍 床位 ######好像 搬 宿舍 聚集性 活动 	一点 	折腾 摆布 本事 几千年 真 人类 磨砺 炉火 纯青 地步 ######nonrumor
FU 37 英媒 * 爆料 英国 低 15% ！：  病毒 威胁性 强 ！！： 说白了， 一种 *肺炎！ 一种 *传染病 啦！！！ ：肺病啦1！： 肺病  疾病 *传染病 一定要  尖端 全方位 小心 高 精密性 抵制 任何人  防护 原图 ######一定要  加 尖端 全方位 小心 高 精密性 抵制 任何人  防护 	：说白了， 一种 *肺炎！ 一种 *传染病 啦！！！ ：肺病啦1！： 肺病  疾病 *传染病 	 病毒 *威胁性 强 ######nonrumor
快兰斯 24小时 财经 直播 实时 播报 美国 纽约州州 长科莫： 纽约州 新增 778例 新 冠 肺炎 死亡 病例 ######回升 	数字 	######nonrumor
北方 豆 乌龟 超话 肺炎 治疗 第五天  阿莫西林 泡水 真 难闻 用药  白天 盐酸氨溴索， 晚上 氯霉素 滴 眼睛 环境  情况  左 鼻孔 异物 堵塞 白眼 症状 缓解 张大嘴 喘气 情况 ######祝 龟 龟 早日 康复 龟 刚刚 肺炎 挂 泡 药 没办法 真 难 治 	肺炎 真 难 治 加温棒 挂 	请问 乌龟 泡水 治病 放 龙眼 叶 放 龙眼 叶， 乌龟 腐皮， 叶子 撤走 ######nonrumor
陈文伍 印度 封 城 恒河 变 清澈 专家 河段 河水 饮用 4月13日 印 媒 报道 称 封锁 措施 恒河 水质 变 3月24日 印度 总理 莫迪 “封国”， 工业 生产 活动 停工 ，排 恒河 污水 减少 河中 活动 河中 倾倒 垃圾 情况 随之 减少 。印 媒 称 科学家 河段 河水 饮用 聚焦 新冠 肺炎 疫情  ######回复 arm hang 	干净 卫生 	######nonrumor
甘肃 检察 雷神山 清零 前 一夜 4月14日凌晨 坚守 雷神山医院 武汉大学中南医院 医护人员 小彭 完 最后一个 夜班 4月14日上午九时 武汉市雷神山医院 ICU 病房 中 四位 病人 转入 武汉大学中南医院 本部 雷神山 “关门大吉“， 结束 武汉市 新冠 肺炎 疫情 防控 工作 中 独特 历史 使命 ######	微博 	######nonrumor
彭银华 孩子 出生 小名 六一 6月1日 抗疫 烈士 彭银华 孩子 武汉 出生 小名 六一 2月20日 29岁 医生 彭银华 感染 新冠 肺炎 去世 留下 怀孕 6个月 妻子 4位 老人 原定 正月初八 婚礼 一线 抗疫 推迟 成 永远 遗憾 新型 冠状病毒 紧急 呼叫 秒 拍 视频 ######新闻 好心痛 心疼 	场 战疫 太 惨烈 	没关系 国家 姓 社 英雄 路 走好 ######nonrumor
同乐城电游招商 泰晤士： 曼联 伊哈洛 付 600万镑 租借 费， 承担 30万镑 周薪  ，伊哈洛 曼联 此前 租借 合同 上周日 到期 曼联 上海绿地申花 支付 约 600万镑 续租 租借 费， 承担 伊哈洛 30万镑 周薪 三分之一 新 冠 肺炎 疫情 爆发 中国 外国 使馆 工作 人员 外国人 关闭 边境 项 法令 可能会 持续 今年10月份 申花 可能会 一名 中国 球员 支付 500万镑 工资 。然 申花 伊哈洛 提供 一份 周薪 40万镑 四年 新 合同 希望 伊哈洛 曼联 结束 租借 签 这份 新 合约 组图 9张  原图 ######		微博 ######nonrumor
凤凰卫视 欧洲台 英国 首相 群体 免疫 通话 曝光 今日 意大利 卫生部长 爆料 称 英国 首相 鲍里斯 告诉 意大利 总理 孔特 想要 英国 群体 免疫 详情 英国 疫情 欧洲 新冠 肺炎 病例 进展 全球 防疫 迷幻 操作 英国 新冠 肺炎 病例 进展 全球 疫情 海外 抗疫 日记 德国 疫情 意大利 疫情 法国 疫情 俄罗斯 疫情 ######事 总 提干嘛 	群体 免疫 不做 病 一场 想法 	装病 前 搞 群体 免疫 明白 ######nonrumor
同乐金花招商 泰晤士： 曼联 伊哈洛 付 600万镑 租借 费， 承担 30万镑 周薪  ，伊哈洛 曼联 此前 租借 合同 上周日 到期 曼联 上海绿地申花 支付 约 600万镑 续租 租借 费， 承担 伊哈洛 30万镑 周薪 三分之一 新 冠 肺炎 疫情 爆发 中国 外国 使馆 工作 人员 外国人 关闭 边境 项 法令 可能会 持续 今年10月份 申花 可能会 一名 中国 球员 支付 500万镑 工资 。然 申花 伊哈洛 提供 一份 周薪 40万镑 四年 新 合同 希望 伊哈洛 曼联 结束 租借 签 这份 新 合约 组图 9张  原图 ######		######nonrumor
1名 员工 确诊 感染 新 冠肺炎。 相关 消息 称 名 员工 确诊 亲属 接触 。吉卫生部 ：“ 名 员工 列为 新 冠 肺炎 接触者 相关 人员 对其 检测 呈 阳性。 员工 入院 接受 治疗 原图 ######回复 KGZ urkanat 	请问 博主 krygyz 	######nonrumor
新浪 军事 抗 疫 遇上 抗议 美国 骚乱 疫情 雪上加霜 昨日 新增 超 2.1万例 新冠 病例 】据环球网 报道 美国 黑人 遭 白人 警察 暴力 执法 致死 周， 抗议 怒火 全美 至少 140个 城市 延烧， 新 冠病毒 扩散 。据 数据 统计 美国 1日 报告 新增 新 冠 肺炎 确诊 病例 21118 例， 新增 cn 620nc03 ######	美国 全世界 展示 。人权主义， 美国 人权主义。 	微博 ######nonrumor
同乐真人代理 泰晤士： 曼联 伊哈洛 付 600万镑 租借 费， 承担 30万镑 周薪  ，伊哈洛 曼联 此前 租借 合同 上周日 到期 曼联 上海绿地申花 支付 约 600万镑 续租 租借 费， 承担 伊哈洛 30万镑 周薪 三分之一 新 冠 肺炎 疫情 爆发 中国 外国 使馆 工作 人员 外国人 关闭 边境 项 法令 可能会 持续 今年10月份 申花 可能会 一名 中国 球员 支付 500万镑 工资 。然 申花 伊哈洛 提供 一份 周薪 40万镑 四年 新 合同 希望 伊哈洛 曼联 结束 租借 签 这份 新 合约 组图 9张  原图 ######		######nonrumor
明月 家 缅甸 国际 航班 停飞 令 延期 6月15日  综合 缅甸新光报 镜报 5月30日 报道 缅甸民航局 发布 公告 控制 新冠 肺炎 疫情 蔓延 批准 缅甸国际机场 开放 时间 延长 6月15日 缅甸 时间 23时59分 缅甸 国际 航班 停飞 令 始于 3月30日 缅甸 时间 23时59分 有效期 4月13日 缅甸 时间 23时59分 延长 缅甸 时间 23时59分 4月24日 延期 缅甸 时间 延期 系 第四次 延期 ######回复 张路 1573 	回复 洋洋 小姐 姐 aini 推迟 	回复 张路 1573 ######nonrumor
华尔街 见闻 APP 西班牙 连续 两天 新增 死亡 病例 西班牙 新增 294例 新 冠 肺炎 病例 总数 239932例， 死亡 病例 27127例 ######不容易 	恭喜  欧洲 美国 优秀 	在乎 ######nonrumor
东南西北 对角线 行业 媒体 报道 新 冠 肺炎 疫情 蔓延 导致 全球 第一季度 消费 电子产品 物流 受阻 导致 DRAM 位元 出货 影响 DRAM 市场 库存 降至 季节性 水位 疫情 带动 服务器 笔记本 电脑 平板 出货 动能 ，加 4月以来 各国 陆续 工厂 复工 5月 DRAM 合约 价 小幅 调 涨 GB DDR 模组 合约 均价 达 28.5美元 ，创 下1年 新 高。 两个 股 太极实业，深科技 。买买买。 ######回复 佩剑 骑士 都是 几个 信息 源， 指向 目标 	回复 佩剑 骑士 ◆ 苹果 存储 产品 供 美光 、海 力士 东芝 0.17% 海 力士 成立 合资 公司 海太半导体， DRAM 芯片 封测 业务 	回复 佩剑 骑士 据报道 近日 苹果 入门级 13英寸 内存 升级 价格 提高 一倍 美国 用户 8G 升级 16GB 支付 200美元 升级 价格 100美元 国家 类似 涨价 德国 125欧元 升至 250欧元 英国 100欧元 升至 200欧元 中国 地区 售价 750元 涨 1500元 ######nonrumor
钿森 胡卫峰 抢救 无效 今晨 离世。 胡卫锋 生前 感染 新 冠 肺炎 引发 基础性疾病， 长达 4个多月 治疗 ，因 药物治疗 导致 面容 变 黑” 2020年1月 胡卫锋 医院 临床 一线 工作 中 不幸 感染 新 冠肺炎病毒， 病情 危重 转入 同济医院 中法新城院区 紧急 抢救 治疗 重症 人工 肺（ECMO） 救 回 生命 面容 变 黑”， 网友 关注 胡卫锋 脑出血症状， 情况 不好 医护人员 抢救 病情 控制 稳定 治疗 中 病情 反复 5月29日 脑出血 今晨 离世 路 走好 守护 抗 疫 平民 英雄  ######路 走好 	路 走好 	路 走好 ######nonrumor
凤凰卫视 欧洲台 死亡 破 万！英国政府 公布 新冠 发现 刚刚 英国政府 首次 发现 黑人 亚洲 族裔 新冠 死亡 风险 白人 高 2倍 结论 英国公共卫生部 孟加拉 死亡 风险 高 2倍 中国 印度 巴基斯坦 亚洲 加勒比 海人 黑人 族裔 高 10％ 50％。 对此 卫生 大臣 马特·汉考克 承认 非 白人 背景 新 冠病毒 危险因素 详情 英国 疫情 欧洲 新冠 肺炎 病例 进展 全球 防疫 迷幻 操作 英国 新冠 肺炎 病例 进展 全球 疫情 海外 抗疫 日记 德国 疫情 意大利 疫情 法国 疫情 俄罗斯 疫情 ######研究 中国 东亚 民族 南亚 民族 一勺 烩， 意义 何在 亚洲 本来 欧洲 中心 视角 一种 老旧 地缘 建构 印 巴人 细 分出 若干 人种 婆罗门 种姓 欧罗巴人 接近 吧？ 	救治 状况 ，白人轻病 治 重症 治 统计  	######nonrumor
同乐牛牛 招商 泰晤士： 曼联 伊哈洛 付 600万镑 租借 费， 承担 30万镑 周薪  ，伊哈洛 曼联 此前 租借 合同 上周日 到期 曼联 上海绿地申花 支付 约 600万镑 续租 租借 费， 承担 伊哈洛 30万镑 周薪 三分之一 新 冠 肺炎 疫情 爆发 中国 外国 使馆 工作 人员 外国人 关闭 边境 项 法令 可能会 持续 今年10月份 申花 可能会 一名 中国 球员 支付 500万镑 工资 。然 申花 伊哈洛 提供 一份 周薪 40万镑 四年 新 合同 希望 伊哈洛 曼联 结束 租借 签 这份 新 合约 组图 9张  原图 ######		######nonrumor
